1,Birmingham,Alabama ,123.23974,123.23974
2,Helena,Alabama ,-35.06028,124.23974
3,Peoria,Arizona,-35.06029,125.23974
4,Phoenix,Arizona,-35.0603,-112.073844
5,Scottsdale,Arizona,-35.06031,127.23974
6,Tuscon,Arizona,-35.06032,128.23974
7,Little Rock,Arkansas,34.44857,-92.331122
8,North Little Rock,Arkansas,-35.06034,128.23974
9,Los Angeles,California,-35.06035,128.23974
10,Newark,California,-35.06036,128.23974
11,Oakland,California,-35.06037,128.23974
12,Richmond,California,-35.06038,128.23974
13,Riverside,California,-35.06039,128.23974
14,Sacramento,California,38.555605,-121.468926
15,San Francisco,California,-35.06041,128.23974
16,San Jose,California,-35.06042,128.23974
17,South San Francisco,California,-35.06043,128.23974
18,Aurora,Colorado,-35.06044,128.23974
19,Boulder,Colorado,-35.06045,128.23974
20,Denver,Colorado,39.7391667,-104.984167
21,Layfayette ,Colorado,-35.06047,128.23974
22,Columbia,Colorado,-35.06048,128.23974
23,Bridgeport,Connecitcut,-35.06049,128.23974
24,Greenwich,Connecitcut,-35.0605,129.23974
25,Hartford,Connecitcut,41.767,-72.677
26,New Haven,Connecitcut,-35.06052,131.23974
27,Dover,Delaware,-39.161921,-75.526755
28,Newark,Delaware,-35.06054,133.23974
29,Wilmington,Delaware,-35.06055,134.23974
30,Jacksonville ,Florida,-35.06056,135.23974
31,Jacksonville Beach,Florida,-35.06057,136.23974
32,Miami,Florida,-35.06058,137.23974
33,Miami Beach,Florida,-35.06059,138.23974
34,North Miami,Florida,-35.0606,139.23974
35,North Miami Beach,Florida,-35.06061,140.23974
36,Orlando,Florida,-35.06062,141.23974
37,South Miami,Florida,-35.06063,142.23974
38,Tampa,Florida,-35.06064,143.23974
39,Atlanta,Georgia,33.76,-84.39
40,Fayetteville,Georgia,-35.06066,145.23974
41,Jackson ,Georgia,-35.06067,146.23974
42,North Atlanta ,Georgia,-35.06068,147.23974
43,East Honolulu,Hawaii,-35.06069,148.23974
44,Honolulu,Hawaii,21.30895,-157.826182
45,Boise,Idaho,43.613739,-116.237651
46,Aurora,Illinois ,-35.06072,151.23974
47,Chicago,Illinois ,-35.06073,152.23974
48,Chicago Heights ,Illinois ,-35.06074,153.23974
49,Frankfort,Illinois ,-35.06075,154.23974
50,Lansing,Illinois ,-35.06076,155.23974
51,Montgomery,Illinois ,-35.06077,156.23974
52,North Auora,Illinois ,-35.06078,157.23974
53,North Chicago,Illinois ,-35.06079,158.23974
54,West Chicago,Illinois ,-35.0608,159.23974
55,Indianapolis,Indiana,39.790942,-86.147685
56,Des Moines,Iowa,41.590939,-93.620866
57,West Des Moines,Iowa,-35.06083,162.23974
58,Kansas City,Kansas,-35.06084,163.23974
59,Louisville,Kentucky,-35.06085,164.23974
60,Jefferson,Louisiana,-35.06086,165.23974
61,New Orleans,Louisiana,-35.06087,166.23974
62,Annapolis,Maryland,38.972945,-76.501157
63,Baltimore,Maryland,-35.06089,168.23974
64,Columbia,Maryland,-35.0609,169.23974
65,Boston,Massachusetts,42.2352,-71.0275
66,Burlington,Massachusetts,-35.06092,171.23974
67,Concord,Massachusetts,-35.06093,172.23974
68,Manchester,Massachusetts,-35.06094,173.23974
69,Salem,Massachusetts,-35.06095,174.23974
70,Detroit,Michigan,-35.06096,175.23974
71,Birmingham,Michigan,-35.06097,176.23974
72,Trenton,Michigan,-35.06098,177.23974
73,Bloomington,Minnesota,-35.06099,178.23974
74,Columbia Heights,Minnesota,-35.061,179.23974
75,Minneapolis ,Minnesota,-35.06101,180.23974
76,South St Paul,Minnesota,-35.06102,181.23974
77,St Paul,Minnesota,44.95,-93.094
78,West St Paul,Minnesota,-35.06104,183.23974
79,Kansas City,Missouri,-35.06105,184.23974
80,Manchester,Missouri,-35.06106,185.23974
81,North Kansas City,Missouri,-35.06107,186.23974
82,Omaha,Nebraska,-35.06108,187.23974
83,Las Vegas,Nevada,-35.06109,188.23974
84,North Las Vegas,Nevada,-35.0611,189.23974
85,Manchester,New Hampsire,-35.06111,190.23974
86,Salem,New Hampsire,-35.06112,191.23974
87,Burlington,New Jersey,-35.06113,192.23974
88,Trenton,New Jersey,40.221741,-74.756138
89,Santa Fe,New Mexico,35.667231,-105.9644575
90,Albany,New York,42.659829,-73.781339
91,Charlottee,North Carolina ,-35.06117,196.23974
92,Concord,North Carolina ,-35.06118,197.23974
93,Denver,North Carolina ,-35.06119,198.23974
