Birmingham,Alabama ,123.23974,123.23974
Helena,Alabama ,Ê-35.06028,124.23974
Peoria,Arizona,Ê-35.06029,125.23974
Phoenix,Arizona,Ê-35.06030,126.23974
Scottsdale,Arizona,Ê-35.06031,127.23974
Tuscon,Arizona,Ê-35.06032,128.23974
Little Rock,Arkansas,Ê-35.06033,128.23974
North Little Rock,Arkansas,Ê-35.06034,128.23974
Los Angeles,California,Ê-35.06035,128.23974
Newark,California,Ê-35.06036,128.23974
Oakland,California,Ê-35.06037,128.23974
Richmond,California,Ê-35.06038,128.23974
Riverside,California,Ê-35.06039,128.23974
Sacramento,California,Ê-35.06040,128.23974
San Francisco,California,Ê-35.06041,128.23974
San Jose,California,Ê-35.06042,128.23974
South San Francisco,California,Ê-35.06043,128.23974
Aurora,Colorado,Ê-35.06044,128.23974
Boulder,Colorado,Ê-35.06045,128.23974
Denver,Colorado,Ê-35.06046,128.23974
Layfayette ,Colorado,Ê-35.06047,128.23974
Columbia,Colorado,Ê-35.06048,128.23974
Bridgeport,Connecitcut,Ê-35.06049,128.23974
Greenwich,Connecitcut,Ê-35.06050,129.23974
Hartford,Connecitcut,Ê-35.06051,130.23974
New Haven,Connecitcut,Ê-35.06052,131.23974
Dover,Delaware,Ê-35.06053,132.23974
Newark,Delaware,Ê-35.06054,133.23974
Wilmington,Delaware,Ê-35.06055,134.23974
Jacksonville ,Florida,Ê-35.06056,135.23974
Jacksonville Beach,Florida,Ê-35.06057,136.23974
Miami,Florida,Ê-35.06058,137.23974
Miami Beach,Florida,Ê-35.06059,138.23974
North Miami,Florida,Ê-35.06060,139.23974
North Miami Beach,Florida,Ê-35.06061,140.23974
Orlando,Florida,Ê-35.06062,141.23974
South Miami,Florida,Ê-35.06063,142.23974
Tampa,Florida,Ê-35.06064,143.23974
Atlanta,Georgia,Ê-35.06065,144.23974
Fayetteville,Georgia,Ê-35.06066,145.23974
Jackson ,Georgia,Ê-35.06067,146.23974
North Atlanta ,Georgia,Ê-35.06068,147.23974
East Honolulu,Hawaii,Ê-35.06069,148.23974
Honolulu,Hawaii,Ê-35.06070,149.23974
Boise,Idaho,Ê-35.06071,150.23974
Aurora,Illinois ,Ê-35.06072,151.23974
Chicago,Illinois ,Ê-35.06073,152.23974
Chicago Heights ,Illinois ,Ê-35.06074,153.23974
Frankfort,Illinois ,Ê-35.06075,154.23974
Lansing,Illinois ,Ê-35.06076,155.23974
Montgomery,Illinois ,Ê-35.06077,156.23974
North Auora,Illinois ,Ê-35.06078,157.23974
North Chicago,Illinois ,Ê-35.06079,158.23974
West Chicago,Illinois ,Ê-35.06080,159.23974
Indianapolis,Indiana,Ê-35.06081,160.23974
Des Moines,Iowa,Ê-35.06082,161.23974
West Des Moines,Iowa,Ê-35.06083,162.23974
Kansas City,Kansas,Ê-35.06084,163.23974
Louisville,Kentucky,Ê-35.06085,164.23974
Jefferson,Louisiana,Ê-35.06086,165.23974
New Orleans,Louisiana,Ê-35.06087,166.23974
Annapolis,Maryland,Ê-35.06088,167.23974
Baltimore,Maryland,Ê-35.06089,168.23974
Columbia,Maryland,Ê-35.06090,169.23974
Boston,Massachusetts,Ê-35.06091,170.23974
Burlington,Massachusetts,Ê-35.06092,171.23974
Concord,Massachusetts,Ê-35.06093,172.23974
Manchester,Massachusetts,Ê-35.06094,173.23974
Salem,Massachusetts,Ê-35.06095,174.23974
Detroit,Michigan,Ê-35.06096,175.23974
Birmingham,Michigan,Ê-35.06097,176.23974
Trenton,Michigan,Ê-35.06098,177.23974
Bloomington,Minnesota,Ê-35.06099,178.23974
Columbia Heights,Minnesota,Ê-35.06100,179.23974
Minneapolis ,Minnesota,Ê-35.06101,180.23974
South St Paul,Minnesota,Ê-35.06102,181.23974
St Paul,Minnesota,Ê-35.06103,182.23974
West St Paul,Minnesota,Ê-35.06104,183.23974
Kansas City,Missiouri,Ê-35.06105,184.23974
Manchester,Missiouri,Ê-35.06106,185.23974
North Kansas City,Missiouri,Ê-35.06107,186.23974
Omaha,Nebraska,Ê-35.06108,187.23974
Las Vegas,Nevada,Ê-35.06109,188.23974
North Las Vegas,Nevada,Ê-35.06110,189.23974
Manchester,New Hampsire,Ê-35.06111,190.23974
Salem,New Hampsire,Ê-35.06112,191.23974
Burlington,New Jersey,Ê-35.06113,192.23974
Trenton,New Jersey,Ê-35.06114,193.23974
Santa Fe,New Mexico,Ê-35.06115,194.23974
Albany,New York,Ê-35.06116,195.23974
Charlottee,North Carolina ,Ê-35.06117,196.23974
Concord,North Carolina ,Ê-35.06118,197.23974
Denver,North Carolina ,Ê-35.06119,198.23974
Durham,North Carolina ,Ê-35.06120,199.23974
Harrisburg,North Carolina ,Ê-35.06121,200.23974
Raleigh,North Carolina ,Ê-35.06122,201.23974
Columbus,Ohio,Ê-35.06123,202.23974
Newark,Ohio,Ê-35.06124,203.23974
Oklahoma City,Oklahoma,Ê-35.06125,204.23974
Albany,Oregon,Ê-35.06126,205.23974
Portland,Oregon,Ê-35.06127,206.23974
Salem,Oregon,Ê-35.06128,207.23974
Springfield ,Oregon,Ê-35.06129,208.23974
Harrisburg,Pennsylvania,Ê-35.06130,209.23974
Philidelphia,Pennsylvania,Ê-35.06131,210.23974
East Greenwich,Rhode Island,Ê-35.06132,211.23974
East Providence ,Rhode Island,Ê-35.06133,212.23974
Lincoln,Rhode Island,Ê-35.06134,213.23974
North Providence,Rhode Island,Ê-35.06135,214.23974
Providence,Rhode Island,Ê-35.06136,215.23974
Charleston,South Carolina ,Ê-35.06137,216.23974
North Charleston ,South Carolina ,Ê-35.06138,217.23974
Memphis,Tennessee,Ê-35.06139,218.23974
Nashville,Tennessee,Ê-35.06140,219.23974
Austin,Texas,Ê-35.06141,220.23974
Dallas,Texas,Ê-35.06142,221.23974
Fort Worth,Texas,Ê-35.06143,222.23974
Houston,Texas,Ê-35.06144,223.23974
Richmond,Texas,Ê-35.06145,224.23974
Provo,Utah,Ê-35.06146,225.23974
Salt Lake City,Utah,Ê-35.06147,226.23974
Burlington,Vermont,Ê-35.06148,227.23974
South Burlington,Vermont,Ê-35.06149,228.23974
Richmond,Virginia,Ê-35.06150,229.23974
Virginia Beach,Virginia,Ê-35.06151,230.23974
Olympia,Washington,Ê-35.06152,231.23974
Seattle,Washington,Ê-35.06153,232.23974
Springfield ,West Virgina,Ê-35.06154,233.23974
Madison,Wisconsin,Ê-35.06155,234.23974
Milwaukee,Wisconsin,Ê-35.06156,235.23974
New Richmond ,Wisconsin,Ê-35.06157,236.23974
Juneau,Alaska,Ê-35.06158,237.23974
Anchorage,Alaska,Ê-35.06159,238.23974
Helena,Montana,Ê-35.06160,239.23974
Billings,Montana,Ê-35.06161,240.23974
Fargo,North Dakota ,Ê-35.06162,241.23974
Bismarck,North Dakota ,Ê-35.06163,242.23974
Rapid City,South Dakota,Ê-35.06164,243.23974
Sioux Falls,South Dakota,Ê-35.06165,244.23974
Cheyenne,Wyoming,Ê-35.06166,245.23974
Jackson,Wyoming,Ê-35.06167,246.23974
Tallahassee,Florida,Ê-35.06168,247.23974
Montgomery,Alabama ,Ê-35.06169,248.23974
